question,debate_name,experiment_name
What was the general set up of the experiment?,Booze You Can Use,Pre-Training Test
Why did Kennedy not give much credence to anyone finding out about his indiscretions?,The logistics of presidential adultery.,Pre-Training Test
What point did Washington make in his address?,Reading the Inaugurals,Pre-Training Test
Where did Edward grow up?,Edward W. Said,Pre-Training Test
What does the author suggest are some traits Said possesses?,Edward W. Said,Pre-Training Test
"According to The Washington Times, ",The logistics of presidential adultery.,Pre-Training Test
What is the main reason the writer takes issue with the Pope's stance on cloning?,Human Clones: Why Not?,Pre-Training Test
Who was said to have inadvertently committed plagerism?,Goings On About Town,Pre-Training Test
How many of the golden era ballparks had already been torn down?,Diamonds in the Rough,Training Phase
Why did the author say his father had left him a big estate?,My Father's Estate,Training Phase
What does the author say about correlating athletic ability with race?,The Olympic Gene Pool,Training Phase
What motivated Sen. John McCain to push back against UFC?,Fight Clubbed,Training Phase
Who is the most hated celebrity of 1999?,Eleven-Twelfths of 1999 In Review,Training Phase
What is true about Keynes?,Vulgar Keynesians,Training Phase
How does Barker view his own film?,Dirty Laundry,Training Phase
How does the point about Bill Clinton tie into the rest of the article?,More Bang for the Buck,Training Phase
Why are patients more likely to want to undergo procedures after the use of the camera?,Defining Decay Down,Training Phase
What was not true about Nash's college years?,Folie ?,Training Phase
What is main the flaw in Harris' plan to sell the eggs of fashion models?,eBabe,Training Phase
Why was the second round of tests more important to the test subjects?,More Booze You Can Use,Training Phase
What was “The Legend of Arthur”?,Krugman's Life of Brian,Training Phase
Why does the author believe he might be the Antichrist?," I, Antichrist?",Training Phase
The information presented shows that the person who was the most innocent involved in this scandal to be,The Flytrap Blame Game,Training Phase
Why does Tannen say her book is not about civility?,We Do Understand,Training Phase
"According to the film reviewer, Thin Red Line has succeeded in all of the following EXCEPT:",War and Pieces,Training Phase
"Of all the individuals described in the article, who seemed to make the riskiest decision described?",Republican Shakeout,Training Phase
Who is the gaming industry's number one lobbyist?,Is gambling Hollywood or tobacco?,Training Phase
What does the author think is special about Southwest?,It's Time To Keelhaul U-Haul!,Training Phase
Why are they hunting the farn beast?,Hunt the Hunter,Test Phase
What happened to Dameri while he was in custody of the government?,Off Course,Test Phase
Why was Pop upset about leaving life on Earth?,Castaways of Eros,Test Phase
When did Earl go to space?,Jamieson,Test Phase
"What is Ahra referring to when she says ""something has been taken?""",The Blue Behemoth,Test Phase
What portion of the journey was spent in cryosleep?,The Dope on Mars,Test Phase
Why might the stories be true?,A Gleeb for Earth,Test Phase
How did Quade feel about the situation?,The Spicy Sound of Success,Test Phase
Why was Gavir brought to Earth from Mars?,Star Performer,Test Phase
The denizens of Terra would most likely make fun of Craig for his ______.,Sea Legs,Test Phase
What feeling does Dan's accidental encounter with the young girl evoke for the readers?,The Star-Sent Knaves,Test Phase
Why does Groz not want to go into the mountain?,When the Mountain Shook,Test Phase
"What ultimately makes the priest disbelieve what they've seen, despite his faith?",In the Garden,Test Phase
Why was Charles in the actress's apartment?,"""Phone Me in Central Park""",Test Phase
What did Orison do when she met Kraft Gerding?,Cinderella Story,Test Phase
Why is Earth so stunted in comparison to other colonies?,The Dwindling Years,Test Phase
What is a theme of the story?,The Stoker and the Stars,Test Phase
"What is Hank’s relationship to Retief?
",Cultural Exchange,Test Phase
"By the end of the article, would Harper's opinion of Mrs. Jacobsen at the front desk be different?",Hagerty's Enzymes,Test Phase
Why didn't Casey want to take the deal?,Jupiter's Joke,Test Phase
What best defines the power struggle between the Hans and the Officers?,Thralls of the Endless Night,Experiment 1-A
What isn't a reason for Ben to want to be a rocketman?,Spacemen Die at Home,Experiment 1-A
What is so unique about the cockatoos on this planet?,Double Trouble,Experiment 1-A
What is a theme of the story?,Solomon's Orbit,Experiment 1-A
How do they create neutroids?,Conditionally Human,Experiment 1-A
"What is the purpose of the strange objects in Herrell’s cell?
",The Five Hells of Orion,Experiment 1-A
What did Templin and Eckert find odd about the children they encountered?,The Fire and the Sword,Experiment 1-A
"What is the significance of the mission Colonel Walsh gives Major Polk?
",A Planet Named Joe,Experiment 1-A
Why have so many people resorted to pick-pocketing?,A Fall of Glass,Experiment 1-A
What didn't Svan do to try to save his planet?,Double-Cross,Experiment 1-A
How did Jery feel when going to Baxter's office the second time?,The Secret Martians,Experiment 1-A
Why does Peter insist that Lorelei not come along for the mission?,The Avenger,Experiment 1-A
Why is Jakdane going to Earth?,The Jupiter Weapon,Experiment 1-B
What is the metal box that makes a humming sound?,Viewpoint,Experiment 1-B
Why don't the cousins realize the flaw in their plan?,The Man Outside,Experiment 1-B
What was the relationship between the globes?,Stalemate in Space,Experiment 1-B
How does Retief navigate his problems with most people?,The Frozen Planet,Experiment 1-B
Why did Mr. Chambers become a recluse?,The Street That Wasn't There,Experiment 1-B
How does Taphetta's initial response to Halden's evidence represent a greater dynamic between species?,Big Ancestor,Experiment 1-B
Why did Skkiru think the dilettante had fixed the lots?,The Ignoble Savages,Experiment 1-B
What happens when Rikud grows violent when the others don't believe him.,The Sense of Wonder,Experiment 1-B
How does Miss Meuhl feel about her job?,The Madman From Earth,Experiment 1-B
Who is the nucleus?,I Am a Nucleus,Experiment 1-B
Why is Grannie Annie so concerned about the Green Flame’s whereabouts?,Doctor Universe,Experiment 1-B
How did the Block O guards feel about their position?,My Lady Greensleeves,Experiment 1-B
Why do the Americans need to ask the Russians for help?,The Winning of the Moon,Experiment 1-B
What is Sylvia's relation to Paul?,Slingshot,Experiment 1-B
What was true about the bugs on the planet?,Survival Type,Experiment 1-B
Why was it urgent to repair the old Beacon?,The Repairman,Experiment 1-B
"Why did Gabe tell the girl that he was with that he had never before seen the nondescript man, though the two clearly knew each other?",Bodyguard,Experiment 1-B
Which is the best description of the relationship between Linton and Howell?,February Strawberries,Experiment 1-B
Why does Ben take offence to Cobb's comments about spacemen?,A Coffin for Jacob,Experiment 1-B
Why was Ludovick able to get to the Belphin of Belphins?,The Blue Tower,Experiment 2-A
"What did Dana mean by the saying the concerts ""have come so far?""",The Link,Experiment 2-A
Which is the most accurate description of the planet Stinson finds himself on? ,The God Next Door,Experiment 2-A
Which term best describes how the author characterizes the home in the beginning of the story? ,Judas Ram,Experiment 2-A
Which of these does Dr. Niemand believe to be true about the timing of the attacks?,Disturbing Sun,Experiment 2-A
Why did Judy start crying in the attic of her grandparents home?,"The Haunted Fountain
A Judy Bolton Mystery",Experiment 2-A
Why did Duane say he did not recognize the girl?,Conspiracy on Callisto,Experiment 2-A
Why is Grimm annoyed that Charlotte slept beside Carlson?,Coming of the Gods,Experiment 2-A
"Why did the lions Mr. George shot dissolve ""as if corroded by some invisible acid?""",The Hunters,Experiment 2-A
Why did his girlfriend put such an emphasis on promptness?,The Spy in the Elevator,Experiment 2-A
What was Arvid 6's mistake?,The Ultroom Error,Experiment 2-A
How did the Mercurians adjust to the heat?,Red Witch of Mercury,Experiment 2-A
Why was the neighbor surprised?,Bullet with His Name,Experiment 2-A
